업종명,업소명,소재지(도로명),소재지(지번),소재지전화,업태명,데이터기준일자,위도,경도
일반음식점,멍석식당,강원특별자치도 춘천시 전원길 1 (운교동),강원특별자치도 춘천시 운교동 188-8 ,033 -257 -0130,한식,2025-04-30,37.8774452147486,127.73526657458
일반음식점,진향식당,"강원특별자치도 춘천시 약사고개길 13 (죽림동, ,11-2,4,7,8 제일종합시장지하 7B L1호)","강원특별자치도 춘천시 죽림동 32 ,11-2,4,7,8 제일종합시장지하 7B L1호 ", 033- 252-1291,한식,2025-04-30,37.8774391611912,127.726007841916
일반음식점,만미정,"강원특별자치도 춘천시 중앙로 28-8, 1,2층 (요선동, 외1필지)","강원특별자치도 춘천시 요선동 7-8 외1필지(1층,2층) ", 033- 254-9847,한식,2025-04-30,37.8825694617969,127.728173941708
일반음식점,동물농장,"강원특별자치도 춘천시 남춘로36번길 63 (퇴계동, 1층)",강원특별자치도 춘천시 퇴계동 946-8 , 033- 261-6868,식육(숯불구이),2025-04-30,37.860688425217,127.736824837765
일반음식점,부일정,강원특별자치도 춘천시 영서로 3053-5 (사농동),강원특별자치도 춘천시 사농동 281-2 , 033- 254-0786,한식,2025-04-30,37.9246749181379,127.720601391547
일반음식점,요선통닭,강원특별자치도 춘천시 소양고개길 49 (요선동),강원특별자치도 춘천시 요선동 11-8 ,033 -255 -5239,호프/통닭,2025-04-30,37.8822826542024,127.727043744692
일반음식점,장수순대국,"강원특별자치도 춘천시 서부대성로48번길 12-1, 1층 (요선동)",강원특별자치도 춘천시 요선동 10-4 , 033- 253-9594,탕류(보신용),2025-04-30,37.8822166576621,127.727766032491
일반음식점,별채식당,강원특별자치도 춘천시 삭주로 75 (교동),강원특별자치도 춘천시 교동 152-7 , 033- 257-9110,한식,2025-04-30,37.8836332839204,127.7390160531
일반음식점,약사촌닭갈비,강원특별자치도 춘천시 공지로 384-9 (약사동),강원특별자치도 춘천시 약사동 151-5 ,033 -256 -9255,식육(숯불구이),2025-04-30,37.8719511821893,127.724553429217
일반음식점,금선식당,강원특별자치도 춘천시 약사고개길 13 (죽림동),강원특별자치도 춘천시 죽림동 32 , 033- 254-8814,한식,2025-04-30,37.8774391611912,127.726007841916
일반음식점,화롯불,강원특별자치도 춘천시 충열로 166 (우두동),강원특별자치도 춘천시 우두동 460-14 ,033 -243 -9289,한식,2025-04-30,37.907454587231,127.73985031469
일반음식점,회빈장,강원특별자치도 춘천시 남춘로36번길 54 (퇴계동),강원특별자치도 춘천시 퇴계동 952-1 ,033 -261 -1876,중국식,2025-04-30,37.861176918869,127.736031288341
일반음식점,동강막국수,강원특별자치도 춘천시 사북면 사내천로 1173,강원특별자치도 춘천시 사북면 오탄리 566-2 ,033 -243 -5545,한식,2025-04-30,38.0495183757111,127.609060661414
일반음식점,속초식당,강원특별자치도 춘천시 서부대성로44번길 5 (요선동),"강원특별자치도 춘천시 요선동 8-58 8-55,8-57,8-60 ",033 -251 -0582,한식,2025-04-30,37.882832723395,127.727749815958
일반음식점,진아하우스,"강원특별자치도 춘천시 금강로 2, 1층 (소양로3가)",강원특별자치도 춘천시 소양로3가 183 , 033- 254-8995,한식,2025-04-30,37.8823895850731,127.722861187712
