"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","전문인력총수","자본금","시설장비","타기관이전여부",
"37","지하수시공업체","09_29_01_P","4191000","C006204221261026000","2016-03-11","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 문막읍 동화리 715","강원특별자치도 원주시 문막읍 건등로 67, 104동 302호 (원주문막극동스타클래스)","26370","강원샘물지하수개발","2021-12-22 09:11:57","I","2023-06-13 00:00:00","","274150.917709527","424990.447208367","2","54500000","시추기(강원22고1225,JNM-0715)","0",
"38","지하수시공업체","09_29_01_P","4191000","C001412110116206L00","2020-11-17","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 단구동 1587-7","강원특별자치도 원주시 단관길 55(단구동)","26487","해창엔지니어링주식회사","2023-01-30 11:32:26","I","2023-06-13 00:00:00","","284558.483326694","424923.205125076","2","50000000","천공기 서울 22-8362","0",
"39","지하수시공업체","09_29_01_P","4191000","C001412110120322L00","2023-01-19","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 학성동 1047-3","강원특별자치도 원주시 학성길 88, 101호 (학성동)","26417","(주)바론엔지니어링","2023-01-30 11:38:35","I","2023-06-13 00:00:00","","283388.874687532","428330.732860854","2","50000000","천공기 / 경기22고5858 / SP4500
(2022.11.01. ~ 2025.12.31.)","0",
"40","지하수시공업체","09_29_01_P","4191000","C001412110069140L00","2017-08-30","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 관설동 1716-7","강원특별자치도 원주시 흥업면 원문로 780","","가람환경(주)","2019-04-10 10:40:40","I","2023-06-13 00:00:00","","285341.570628898","424219.351949182","2","200000000","천공기:BCD-790Y 1대,임대)","0",
"41","지하수시공업체","09_29_01_P","4191000","C001102345749000000","2018-02-09","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 개운동 118-27","강원특별자치도 원주시 남원로644번길 24 (개운동)","","동양지하수","2021-06-08 17:17:03","I","2023-06-13 00:00:00","","284505.154592762","427007.849238706","2","81000000","","0",
"42","지하수시공업체","09_29_01_P","4191000","C006304072775321000","2019-05-17","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 판부면 금대리 1281-2","강원특별자치도 원주시 판부면 치악로 1005","26504","다인지하수","2021-12-28 17:45:50","I","2023-06-13 00:00:00","","288534.189821808","420601.890767603","2","45000000","-천공기:YJ-0028,450mm(강원22고1185,자가)","0",
"43","지하수시공업체","09_29_01_P","4191000","C002241722516000000","2003-04-25","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 문막읍 취병리 925-1","강원특별자치도 원주시 문막읍 원문로 1833-2","26373","한일지하수개발","2022-12-22 11:02:48","I","2023-06-13 00:00:00","","272481.101525105","423333.742584266","2","60000000","","0",
"44","지하수시공업체","09_29_01_P","4191000","C004770100721000000","2022-01-03","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 단구동 1478-16","강원특별자치도 원주시 치악로1524번길 4(단구동)","26452","성진지하수","2022-01-04 13:47:42","I","2023-06-13 00:00:00","","285560.706554011","424728.924837942","2","45559072","시추기(미니T-4 유압식 200M)
시추기(수동식 50M)","0",
"45","지하수시공업체","09_29_01_P","4191000","C00741229000","2020-10-30","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 단계동 123-37","강원특별자치도 원주시 관설안길 27-1, 102호 (관설동)","26472","다올엔지니어링","2024-12-23 13:41:51","U","2024-12-25 02:40:00","","282611.869103089","428419.551250681","2","200000000","","0",
"46","지하수시공업체","09_29_01_P","4191000","C001412130004697L00","2003-03-03","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 태장동 725-19","","","(자)지엔테크","2017-04-10 11:48:58","I","2023-06-13 00:00:00","","284789.733360777","428862.206407839","2","110000000","시추기(미니 T-4) 2대
유압착정기(300형) 1대","0",
"47","지하수시공업체","09_29_01_P","4191000","C002240747707000000","2007-02-26","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 학성동 975-16","","","한일엔지니어링","2025-02-20 10:44:13","U","2025-02-22 02:40:00","","283240.649442523","428755.703059363","2","41560000","시추기Super7000M 1대
공기압축기 1대(임대)","0",
"48","지하수시공업체","09_29_01_P","4191000","C001412110146097L00","2024-08-05","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 반곡동 1809-11 엔터비즈타워","강원특별자치도 원주시 입춘로 45, 엔터비즈타워 A동 513호 (반곡동)","26460","㈜한울디앤비","2025-07-08 13:08:26","U","2025-07-10 02:40:00","","286650.196160256","425529.258545694","8","100000000","Super Power 4500SD","0",
"49","지하수시공업체","09_29_01_P","4191000","C006810191925115000","2025-05-21","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 호저면 만종리 1051","강원특별자치도 원주시 호저면 운동들2길 22","26348","지정지하수","2025-05-21 13:43:41","I","2025-05-23 00:20:43","","279415.617672094","428321.681003906","2","30000000","천공기 ZB 강원22고5102 HGH-0645","0",
"50","지하수시공업체","09_29_01_P","4201000","C001411110078979L00","2012-02-23","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 강릉시 지변동 208","","","주식회사 강원신재생에너지","2023-08-24 09:39:43","U","2023-08-26 02:40:00","","364500.797568182","476452.020702881","2","121000000","시설및장비
1. 천공기(서울22가5310)  
형식: LYC-6087
소유
2. 천공기(서울22가5304)
형식: BCD-1350
소유","0",
"51","지하수시공업체","09_29_01_P","4201000","C006604091333429000","2023-08-24","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 강릉시 구정면 학산리 49-20","강원특별자치도 강릉시 구정면 칠성로 185","25623","장수지하수개발","2023-08-24 10:06:58","I","2023-08-26 00:18:22","","367845.150425917","468852.87595803","2","31000000","1. 천공기(SM-0423)
 - 강원22고5248 소유","0",
"52","지하수시공업체","09_29_01_P","4201000","C001101113865461L00","2011-08-26","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 강릉시 포남동 1059-9 2F","강원특별자치도 강릉시 보래미하길 59, 2층 (포남동)","","(주)강일엔지니어링","2023-01-10 15:14:11","I","2023-09-13 00:18:07","","368432.822959854","476389.757090361","2","100000000","","0",
"53","지하수시공업체","09_29_01_P","4201000","C001412110033814L00","2006-06-27","","01","영업/정상","1","영업","","","","","","","","","강원특별자치도 강릉시 사임당로 129, 에스클레스 3동 4층 401호 (홍제동)","25520","(주)한국대체에너지","2023-09-12 09:24:06","U","2023-09-14 02:40:00","","364346.294653528","474274.181548216","0","0","","0",
"54","지하수시공업체","09_29_01_P","4201000","C001411110068912L00","2021-03-22","","01","영업/정상","1","영업","","","","","","","","","강원특별자치도 강릉시 박월길94번길 36 (박월동)","25608","주식회사 강토기술단","2025-10-20 13:32:09","U","2025-10-23 02:40:00","","368389.284047536","471364.332906914","2","100000000","","0",
"55","지하수시공업체","09_29_01_P","4201000","C001411110043386L00","2014-12-11","","01","영업/정상","1","영업","","","","","","","","","강원특별자치도 강릉시 구정면 칠성로 46","","(주)한국건설시험원","2021-04-08 16:37:22","I","2024-03-01 00:15:52","","367349.865352554","467581.005453747","3","220922336","1. 천공기(경기22고 5434)
  - KHK 0132
  - 임대(소유자 김혁기)","0",
"56","지하수시공업체","09_29_01_P","4201000","C00621121000","2017-02-10","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 강릉시 포남동 1117","강원특별자치도 강릉시 경강로2539번길 8, 101동 802호 (견소동, 견소동 한신아파트)","25560","대일개발","2025-02-09 14:45:47","U","2025-02-11 02:40:00","","367664.006397338","475433.376817276","2","31000000","","0",
"57","지하수시공업체","09_29_01_P","4201000","C001444110005014L00","2006-07-10","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 강릉시 성산면 금산리 11 강릉영동대학 창업보육센터 4층 415호","","","한국지하수기술공사(주)","2025-10-02 14:34:12","I","2025-10-05 00:20:16","","","","4","50000000","계약장비: 시추기, 수위측정기, 수소이온농도.수은 , 전기전도도측정기","1",
"58","지하수시공업체","09_29_01_P","4201000","C008109291163517000","2023-02-09","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 강릉시 연곡면 동덕리 259","강원특별자치도 강릉시 연곡면 동해대로 4094","25431","중부지하수개발","2025-10-02 14:47:30","U","2025-10-05 02:40:00","","362130.787768125","484340.18227096","2","32000000","","0",
"59","지하수시공업체","09_29_01_P","4201000","C00740103000","2016-02-18","","01","영업/정상","1","영업","","","","","","","","","강원특별자치도 강릉시 성덕로176번길 32-4 (두산동)","","옥정지하수","2019-04-29 15:46:36","I","2025-09-13 00:20:01","","","","2","30000000","1. 천공기(강원22고5105)
- LGB-0493(임차, 2019.04.19. ~ 2024.04.19.)","0",
"60","지하수시공업체","09_29_01_P","4201000","C004807281267917000","2019-10-15","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 강릉시 연곡면 신왕리 29","강원특별자치도 강릉시 연곡면 신왕길 71-29","25432","청수지하수개발공사","2025-09-01 11:16:17","I","2025-09-03 00:20:22","","357703.080918599","484135.37218147","2","104000000","","0",
"61","지하수시공업체","09_29_01_P","4201000","C00711028000","2017-06-29","","01","영업/정상","1","영업","","","","","","","","","강원특별자치도 강릉시 운산길 152-18, 2호 (운산동)","","한국지하수기술공사","2025-03-26 09:32:33","I","2025-03-28 00:10:40","","","","2","30000000","천공기(SP6000SD): 강원22고5168","0",
"62","지하수시공업체","09_29_01_P","4201000","C00640824000","2018-04-04","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 강릉시 교동 940-2","강원특별자치도 강릉시 원대로8번안길 6-2 (교동)","","대한지하수","2019-03-25 11:20:01","I","2024-11-27 00:12:13","","366119.095529658","474506.780531399","2","97909808","□ 천공기(강원22고5206)
 - 소유 : 자가
 - 형식 : OBH-2002
□ 공기압축기(강원21고5050)
 - 소유 : 임차(~2022.02.27)
 - 형식 : XHP1070WCAT","0",
"63","지하수시공업체","09_29_01_P","4211000","C007791901709000000","2022-02-07","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 동해시 대구동 38-3","강원특별자치도 동해시 대호길 2(대구동)","25822","조은지하수","2022-02-15 10:48:32","I","2023-06-13 00:00:00","","389266.822250839","443098.879700583","2","31000000","시추기1대,이동식 콤푸레이샤1대,5톤트럭2대","0",
"64","지하수시공업체","09_29_01_P","4211000","C007058801586000000","2022-06-28","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 동해시 구미동 592 이주이용소","강원특별자치도 동해시 구미택지6길 18, 1층 (구미동)","25817","가강원지하정보주식회사","2022-06-28 16:22:55","I","2023-06-13 00:00:00","","388220.305660899","443962.553414721","4","50000000","천공기","0",
"65","지하수시공업체","09_29_01_P","4211000","C001901110011350L00","1998-09-15","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 동해시 부곡동 87-2 1층","강원특별자치도 동해시 부곡1길 1 (부곡동)","","엘케이건설(주)","2012-04-23 15:51:58","I","2023-06-13 00:00:00","","385945.130501799","450337.835848532","8","400000000","1.시추기2대","0",
"66","지하수시공업체","09_29_01_P","4211000","C005711131345418000","2009-02-21","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 동해시 천곡동 1038-1","강원특별자치도 동해시 동굴1길 80 (천곡동)","","천곡지하수개발","2015-07-20 09:51:59","I","2023-06-13 00:00:00","","386646.313616231","448458.514967431","3","40000000","착정기(1.미니T-4)","0",
"67","지하수시공업체","09_29_01_P","4211000","C001447130002193L00","2003-02-19","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 동해시 구호동 243-40","강원특별자치도 동해시 공단1로 51-29 (구호동)","","(합자회사)금천","2018-01-29 14:17:23","I","2023-06-13 00:00:00","","389504.992458566","443602.691495748","2","60000000","","0",
"68","지하수시공업체","09_29_01_P","4211000","C001447110014829L00","2008-03-25","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 동해시 부곡동 105-1","강원특별자치도 동해시 임항로 36, 204호 (부곡동, 승우4차아파트 상가)","","(주)대신지하수온천개발","2014-05-19 11:07:08","I","2023-06-13 00:00:00","","386089.297958748","450529.570496033","2","100000000","","0",
"69","지하수시공업체","09_29_01_P","4211000","C001447110009903L00","2002-11-05","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 동해시 북평동 281-1","강원특별자치도 동해시 전천로 245-24 (북평동)","","농업회사법인(주)전천","2019-10-30 16:12:27","I","2023-06-13 00:00:00","","387364.317988617","444339.478016635","2","1000000","","0",
"70","지하수시공업체","09_29_01_P","4221000","C006704191345439000","2009-04-14","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 태백시 황지동 405-15","강원특별자치도 태백시 대학길 35 (황지동)","","고원지하수","2009-07-28 14:44:32","I","2023-06-13 00:00:00","","376038.199981426","408160.976947196","2","36000000","YJ600시추시 및 콤프레샤1대(임대)
- 임대인 : 조만희
- 주  소 : 강원도 정선군 숙암리
           606-04","0",
"71","지하수시공업체","09_29_01_P","4221000","C005512132333029000","2009-03-18","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 태백시 소도동 1-2","강원특별자치도 태백시 버들치길 6 (소도동)","","조양개발","2009-07-28 14:42:58","I","2023-06-13 00:00:00","","375703.327477416","406106.332338854","2","162662496","시추기 YJ600 1대","0",
"72","지하수시공업체","09_29_01_P","4221000","C001411110073359L00","2024-03-12","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 태백시 황지동 73-44 파크빌","강원특별자치도 태백시 문화로3길 54, 파크빌 1층 101호 (황지동)","26014","(주)태원지오텍","2024-03-12 14:48:26","I","2024-03-14 00:16:02","","376995.748837142","409302.744475492","4","150000000","건설기계임대차 표준계약서
2024.01.02~2028.12.31
천공기(경기22고5541)","0",
