"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","실험실면적","사업장구분명","영업소면적","위탁업체명","실험실지역코드","실험실우편번호","실험실산","실험실번지","실험실호","실험실통","실험실반","실험실특수주소","실험실특수주소동","실험실특수주소호","실험실도로명주소시군구코드","실험실도로명주소읍면동코드","실험실도로명주소읍면동구분","실험실도로명주소코드","실험실도로명특수주소","실험실도로명주소건물층구분","실험실도로명주소건물본번호","실험실도로명주소건물부번호","실험실도로명주소우편번호",
"11","환경측정대행업","09_30_17_P","6530000","653000008202300016","2023-07-25","","01","영업/정상","N","신규","","","","","0337446701","","","","강원특별자치도 원주시 흥업면 원문로 865-5","","주식회사 대동환경","2023-07-25 13:09:41","I","2023-07-27 00:18:54","","","","0","측정대행업","0","","","","","","","","","","","","","","","","","","","","",
"12","환경측정대행업","09_30_17_P","6530000","653000008202300008","2023-07-03","","01","영업/정상","N","신규","","","","","","","26493","강원특별자치도 원주시 흥업면 매지리 1184-1 연세대원주환경친화기술센터 302호","강원특별자치도 원주시 흥업면 북원로 1389, 연세대원주환경친화기술센터 302호","26493","(주)에코엔비텍","2023-07-03 16:54:49","I","2023-07-05 00:19:07","","280254.288140415","419626.869610252","34","측정대행업","0","","5113037022","26493","0","1184","1","","","연세대원주환경친화기술센터","","303","51130","5113037022","0","3219073","연세대원주환경친화기술센터","0","1389","0","26493",
"13","환경측정대행업","09_30_17_P","6530000","653000008202300022","2023-08-22","","01","영업/정상","N","신규","","","","","","","26347","강원특별자치도 원주시 지정면 신평리 1126번지","강원특별자치도 원주시 지정면 청정로 80-1","26347","(주)알렉스분석시험소","2023-08-22 10:30:55","I","2023-08-24 00:18:36","","278740.864821739","431780.028130067","0","측정대행업","0","","","","","","","","","","","","","","","","","","","","",
"14","환경측정대행업","09_30_17_P","6530000","653000008202300009","2023-07-07","","01","영업/정상","N","신규","","","","","","","","강원특별자치도 원주시 태장동 1023-2","강원특별자치도 원주시 방강골길 4(태장동)","","(주)세현에코텍","2023-07-07 09:34:47","I","2023-07-09 00:19:03","","","","0","측정대행업","0","","","","","","","","","","","","","","","","","","","","",
"15","환경측정대행업","09_30_17_P","6530000","653000008202300010","2023-07-07","","01","영업/정상","N","신규","","","","","","","","강원특별자치도 원주시 태장동 1023-2","강원특별자치도 원주시 방강골길 4(태장동)","","(주)세현에코텍","2023-07-07 09:36:24","I","2023-07-09 00:19:03","","","","0","측정대행업","0","","","","","","","","","","","","","","","","","","","","",
"16","환경측정대행업","09_30_17_P","6530000","653000008202300011","2023-07-07","","01","영업/정상","N","신규","","","","","","","24456","강원특별자치도 춘천시 칠전동 603-7","강원특별자치도 춘천시 칠전동길 31-5(칠전동)","24456","아람기술이앤지(주)","2023-07-07 09:47:48","I","2023-07-09 00:19:03","","262877.004279535","482285.243609461","0","측정대행업","0","","","","","","","","","","","","","","","","","","","","",
"17","환경측정대행업","09_30_17_P","6530000","653000008202300021","2025-08-14","","01","영업/정상","N","신규","","","","","","","210-821","강원특별자치도 강릉시 강동면 모전리  43번지 3호 [43-3번지]","강원특별자치도 강릉시 강동면 임곡로 234","210-821","(주)대영환경","2025-08-14 09:54:39","U","2025-08-17 02:40:00","","375350.271375935","469686.434951451","0","측정대행업","0","","5115034022","210821","1","43","3","","","[43-3번지]","","","51150","5115034000","0","3220033","","0","234","","210821",
"18","환경측정대행업","09_30_17_P","6530000","653000008202300004","2023-06-14","","01","영업/정상","N","신규","","","","","","","220-912","강원특별자치도 원주시 판부면 서곡리  2011번지 -6번지","강원특별자치도 원주시 판부면 오성마을길 63-7","220-912","(주)영동환경이앤텍","2023-06-14 16:12:32","I","2023-06-16 00:19:48","","284028.975216268","424549.946849535","0","측정대행업","0","","","","","","","","","","","","","","","","","","","","",
"19","환경측정대행업","09_30_17_P","6530000","653000008202300005","2023-06-22","","01","영업/정상","N","신규","","","","","","","26347","강원특별자치도 원주시 지정면 신평리 1126번지","강원특별자치도 원주시 지정면 청정로 80-1","26347","(주)알렉스분석시험소","2023-06-22 17:49:56","I","2023-06-24 00:19:17","","278740.864821739","431780.028130067","0","측정대행업","0","","","","","","","","","","","","","","","","","","","","",
"20","환경측정대행업","09_30_17_P","6530000","653000008202300007","2023-06-29","","01","영업/정상","N","신규","","","","","0337645807","","220-934","강원특별자치도 원주시 관설동   634번지 3호","강원특별자치도 원주시 치악로 1351 (관설동)","","(주)선진환경","2023-06-29 16:01:26","I","2023-07-01 00:19:10","","286539.562056716","423342.277511088","120","측정대행업","0","","5113011600","220934","1","634","3","","","","","","51130","5113011600","1","3219054","","0","1351","","220180",
"21","환경측정대행업","09_30_17_P","6530000","653000008202300001","2023-06-13","","01","영업/정상","N","신규","","","","","","","","강원특별자치도 원주시 태장동 1023-2","강원특별자치도 원주시 방강골길 4(태장동)","","(주)세현에코텍","2023-06-13 10:25:38","I","2023-06-15 00:19:34","","","","0","측정대행업","0","","","","","","","","","","","","","","","","","","","","",
"22","환경측정대행업","09_30_17_P","6530000","653000008202300002","2023-06-13","","01","영업/정상","N","신규","","","","","","","220-926","강원특별자치도 원주시 호저면 주산리  1436번지","강원특별자치도 원주시 호저면 호저로 498","","(주)고려환경","2023-06-13 10:29:02","I","2023-06-15 00:19:34","","281691.15128908","435365.077543067","83","측정대행업","0","","5113032021","220926","1","1436","","","","","","","51130","5113032000","0","3219060","","0","498","","",
"23","환경측정대행업","09_30_17_P","6530000","653000008202300003","2023-06-13","","01","영업/정상","N","신규","","","","","","","220-912","강원특별자치도 원주시 판부면 서곡리  2011번지 -6번지","강원특별자치도 원주시 판부면 오성마을길 63-7","220-912","(주)영동환경이앤텍","2023-06-13 11:34:17","I","2023-06-15 00:19:34","","284028.975216268","424549.946849535","0","측정대행업","0","","","","","","","","","","","","","","","","","","","","",
"24","환경측정대행업","09_30_17_P","6530000","653000008202300006","2023-06-26","","01","영업/정상","N","신규","","","","","","","25422","강원특별자치도 강릉시 주문진읍 교항리 1207-6","강원특별자치도 강릉시 주문진읍 농공단지길 28-32","25422","(주)세동이엔지","2023-06-26 10:53:01","I","2023-06-28 00:19:13","","360487.917334175","486867.906205672","0","측정대행업","0","","5115025022","25422","0","1207","6","","","","","","51150","5115025022","0","4460314","","0","28","32","25422",
"25","환경측정대행업","09_30_17_P","6530000","642000008202300033","2023-05-16","","01","영업/정상","N","신규","","","","","","","25422","강원특별자치도 강릉시 주문진읍 교항리 1207-6","강원특별자치도 강릉시 주문진읍 농공단지길 28-32","25422","(주)세동이엔지","2023-05-16 10:30:43","I","2023-06-13 00:00:00","","360487.917334175","486867.906205672","0","측정대행업","0","","5115025022","25422","0","1207","6","","","","","","51150","5115025022","0","4460314","","0","28","32","25422",
"26","환경측정대행업","09_30_17_P","6530000","642000008200700003","2024-06-25","","01","영업/정상","N","신규","","","","","","","24399","강원특별자치도 춘천시 동내면 거두리 457-7","강원특별자치도 춘천시 동내면 거두길 191","24399","(자)대한환경건설","2024-06-25 17:58:37","U","2024-06-27 02:40:00","","","","0","측정대행업","0","","","","","","","","","","","","","","","","","","","","",
"27","환경측정대행업","09_30_17_P","6530000","642000008201500011","2024-12-02","","01","영업/정상","N","신규","","","","","","","220-912","강원특별자치도 원주시 판부면 서곡리  2011번지 -6번지","강원특별자치도 원주시 판부면 오성마을길 63-7","220-912","(주)영동환경이앤텍","2024-12-02 17:50:33","U","2024-12-04 02:40:00","","284028.975216268","424549.946849535","0","측정대행업","0","","","","","","","","","","","","","","","","","","","","",
"28","환경측정대행업","09_30_17_P","6530000","642000008201500015","2025-06-24","","01","영업/정상","N","신규","","","","","","","26349","강원특별자치도 원주시 호저면 만종리 217-1","강원특별자치도 원주시 호저면 우무개로 326","26349","(주)동성환경엔지니어링","2025-06-24 09:18:06","U","2025-06-26 02:40:00","","280935.024259656","429774.133074899","0","측정대행업","0","","5113011000","220100","1","","","","","","","","51130","5113011000","1","3219041","","0","341","","220100",
"29","환경측정대행업","09_30_17_P","6530000","642000008202200002","2024-12-02","","01","영업/정상","N","신규","","","","","","","24456","강원특별자치도 춘천시 칠전동 603-7","강원특별자치도 춘천시 칠전동길 31-5(칠전동)","24456","아람기술이앤지(주)","2024-12-02 17:52:33","U","2024-12-04 02:40:00","","262877.004279535","482285.243609461","0","측정대행업","0","","","","","","","","","","","","","","","","","","","","",
"30","환경측정대행업","09_30_17_P","6530000","642000008202200003","2025-05-27","","01","영업/정상","N","신규","","","","","","","25117","강원특별자치도 홍천군 홍천읍 하오안리 532-4","강원특별자치도 홍천군 홍천읍 오안로 80","25117","㈜사람과안전 건설화재에너지연구원","2025-05-27 13:54:40","U","2025-05-29 02:40:00","","273336.181937255","462930.168534434","0","측정대행업","0","","5172025030","25117","0","532","4","","","","","","51720","5172025030","0","3225040","","0","80","0","25117",
"31","환경측정대행업","09_30_17_P","6530000","642000008202200004","2025-03-18","","01","영업/정상","N","신규","","","","","","","220-912","강원특별자치도 원주시 판부면 서곡리  2020번지 3호","강원특별자치도 원주시 판부면 오성마을길 57-13","","(주)대영지오발파엔지니어링","2025-03-18 15:05:53","U","2025-03-20 02:40:00","","284057.226930456","424487.42916004","0","측정대행업","0","","","","","","","","","","","","","","","","","","","","",
"32","환경측정대행업","09_30_17_P","6530000","642000008202200005","2022-12-07","","01","영업/정상","N","신규","","","","","","","24408","강원특별자치도 춘천시 동내면 사암리 765번지","강원특별자치도 춘천시 동내면 대룡산길 80-3","24408","(주)이엠연구소","2022-12-07 15:27:58","I","2023-06-13 00:00:00","","267657.706361618","481762.761134097","0","측정대행업","0","","5111039024","24408","0","765","0","","","","","","51110","5111039024","0","4454152","","0","80","3","24408",
"33","환경측정대행업","09_30_17_P","6530000","642000008202200006","2022-12-08","","01","영업/정상","N","신규","","","","","","","","강원특별자치도 원주시 판부면 서곡리 2011-6","강원특별자치도 원주시 판부면 오성마을길 63-7","","(주)영동환경이앤텍","2022-12-08 13:56:41","I","2023-06-13 00:00:00","","","","0","측정대행업","0","","","","","","","","","","","","","","","","","","","","",
"34","환경측정대행업","09_30_17_P","6530000","642000008202200007","2022-12-08","","01","영업/정상","N","신규","","","","","","","","강원특별자치도 원주시 지정면 신평리 1126번지","강원특별자치도 원주시 지정면 청정로 80-1","","(주)알렉스분석시험소","2022-12-08 13:56:50","I","2023-06-13 00:00:00","","","","0","측정대행업","0","","","","","","","","","","","","","","","","","","","","",
"35","환경측정대행업","09_30_17_P","6530000","642000008202200008","2022-12-08","","01","영업/정상","N","신규","","","","","","","","강원특별자치도 원주시 태장동 1023-2","강원특별자치도 원주시 방강골길 4(태장동)","","(주)세현에코텍","2022-12-08 13:56:58","I","2023-06-13 00:00:00","","","","0","측정대행업","0","","","","","","","","","","","","","","","","","","","","",
"36","환경측정대행업","09_30_17_P","6530000","642000008202200009","2022-12-08","","01","영업/정상","N","신규","","","","","","","","강원특별자치도 원주시 태장동 1023-2","강원특별자치도 원주시 방강골길 4(태장동)","","(주)세현에코텍","2022-12-08 13:57:06","I","2023-06-13 00:00:00","","","","0","측정대행업","0","","","","","","","","","","","","","","","","","","","","",
"37","환경측정대행업","09_30_17_P","6530000","642000008202200010","2022-12-08","","01","영업/정상","N","신규","","","","","","","","강원특별자치도 원주시 태장동 1023-2","강원특별자치도 원주시 방강골길 4(태장동)","","(주)세현에코텍","2022-12-08 13:57:13","I","2023-06-13 00:00:00","","","","0","측정대행업","0","","","","","","","","","","","","","","","","","","","","",
"38","환경측정대행업","09_30_17_P","6530000","642000008202200011","2024-03-11","","01","영업/정상","N","신규","","","","","","","210-821","강원특별자치도 강릉시 강동면 모전리  43번지 3호 [43-3번지]","강원특별자치도 강릉시 강동면 임곡로 234","210-821","(주)대영환경","2024-03-11 16:51:00","U","2024-03-13 02:40:00","","375350.271375935","469686.434951451","0","측정대행업","0","","5115034022","210821","1","43","3","","","[43-3번지]","","","51150","5115034000","0","3220033","","0","234","","210821",
"39","환경측정대행업","09_30_17_P","6530000","642000008202200012","2022-12-26","","01","영업/정상","N","신규","","","","","0337645807","","220-934","강원특별자치도 원주시 관설동   634번지 3호","강원특별자치도 원주시 치악로 1351 (관설동)","","(주)선진환경","2022-12-26 08:59:04","I","2023-06-13 00:00:00","","286539.562056716","423342.277511088","120","측정대행업","0","","5113011600","220934","1","634","3","","","","","","51130","5113011600","1","3219054","","0","1351","","220180",
"40","환경측정대행업","09_30_17_P","6530000","642000008202200013","2022-12-26","","01","영업/정상","N","신규","","","","","","","25422","강원특별자치도 강릉시 주문진읍 교항리 1207-6","강원특별자치도 강릉시 주문진읍 농공단지길 28-32","25422","(주)세동이엔지","2022-12-26 09:04:50","I","2023-06-13 00:00:00","","360487.917334175","486867.906205672","0","측정대행업","0","","5115025022","25422","0","1207","6","","","","","","51150","5115025022","0","4460314","","0","28","32","25422",
"41","환경측정대행업","09_30_17_P","6530000","642000008202300001","2023-01-10","","01","영업/정상","N","신규","","","","","","","25422","강원특별자치도 강릉시 주문진읍 교항리 1207-6","강원특별자치도 강릉시 주문진읍 농공단지길 28-32","25422","(주)세동이엔지","2023-01-10 15:39:28","I","2023-06-13 00:00:00","","360487.917334175","486867.906205672","0","측정대행업","0","","5115025022","25422","0","1207","6","","","","","","51150","5115025022","0","4460314","","0","28","32","25422",
"42","환경측정대행업","09_30_17_P","6530000","642000008202300002","2023-01-16","","01","영업/정상","N","신규","","","","","","","24408","강원특별자치도 춘천시 동내면 사암리 765번지","강원특별자치도 춘천시 동내면 대룡산길 80-3","24408","(주)이엠연구소","2023-01-16 14:11:10","I","2023-06-13 00:00:00","","267657.706361618","481762.761134097","40.8","측정대행업","0","","5111039024","24408","0","765","0","","","","","","51110","5111039024","0","4454152","","0","80","3","24408",
"43","환경측정대행업","09_30_17_P","6530000","642000008202300003","2023-02-02","","01","영업/정상","N","신규","","","","","","","26347","강원특별자치도 원주시 지정면 신평리 1126번지","강원특별자치도 원주시 지정면 청정로 80-1","26347","(주)알렉스분석시험소","2023-02-02 14:15:20","I","2023-06-13 00:00:00","","278740.864821739","431780.028130067","0","측정대행업","0","","","","","","","","","","","","","","","","","","","","",
"44","환경측정대행업","09_30_17_P","6530000","642000008202300004","2023-02-10","","01","영업/정상","N","신규","","","","","","","220-926","강원특별자치도 원주시 호저면 주산리  1436번지","강원특별자치도 원주시 호저면 호저로 498","","(주)고려환경","2023-02-10 15:21:40","I","2023-06-13 00:00:00","","281691.15128908","435365.077543067","83","측정대행업","0","","5113032021","220926","1","1436","","","","","","","51130","5113032000","0","3219060","","0","498","","",
"45","환경측정대행업","09_30_17_P","6530000","642000008202300005","2023-02-13","","01","영업/정상","N","신규","","","","","","","24456","강원특별자치도 춘천시 칠전동 603-7","강원특별자치도 춘천시 칠전동길 31-5(칠전동)","24456","아람기술이앤지(주)","2023-02-13 16:49:24","I","2023-06-13 00:00:00","","262877.004279535","482285.243609461","0","측정대행업","0","","","","","","","","","","","","","","","","","","","","",
"46","환경측정대행업","09_30_17_P","6530000","642000008202300006","2023-02-22","","01","영업/정상","N","신규","","","","","","","24456","강원특별자치도 춘천시 칠전동 603-7","강원특별자치도 춘천시 칠전동길 31-5(칠전동)","24456","아람기술이앤지(주)","2023-02-22 09:52:46","I","2023-06-13 00:00:00","","262877.004279535","482285.243609461","0","측정대행업","0","","","","","","","","","","","","","","","","","","","","",
"47","환경측정대행업","09_30_17_P","6530000","642000008202300007","2023-03-06","","01","영업/정상","N","신규","","","","","","","26347","강원특별자치도 원주시 지정면 신평리 1126번지","강원특별자치도 원주시 지정면 청정로 80-1","26347","(주)알렉스분석시험소","2023-03-06 14:17:09","I","2023-06-13 00:00:00","","278740.864821739","431780.028130067","0","측정대행업","0","","","","","","","","","","","","","","","","","","","","",
