"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","비상시설위치","시설구분명","시설명건물명","해제일자",
"64","민방위급수시설","11_46_01_P","4231000","4231000-E199600001","1996-11-27","","01","영업/정상","18","사용중","","","","","","250","","강원특별자치도 속초시 교동 943번지 13호","강원특별자치도 속초시 밤골3길 2-1 (교동)","","속여고 뒤 비상급수시설","2025-07-30 10:03:16","U","2025-08-01 02:40:00","","337312.089953967","523073.832111582","강원특별자치도 속초시 교동 943번지 13호","정부지원시설","속여고 뒤 비상급수시설","",
"65","민방위급수시설","11_46_01_P","4231000","4231000-E199700001","1997-01-17","","01","영업/정상","18","사용중","","","","","","250","","강원특별자치도 속초시 조양동 1511번지 1호","강원특별자치도 속초시 선사로1길 40-3 (조양동)","","청봉초등학교 앞 비상급수시설","2025-07-24 16:10:47","U","2025-07-26 02:40:00","","339049.0811518","521770.289455012","강원특별자치도 속초시 조양동 1511번지 1호","정부지원시설","청봉초등학교 앞 비상급수시설","",
"66","민방위급수시설","11_46_01_P","4231000","4231000-E199800001","1998-05-17","","01","영업/정상","18","사용중","","","","","","100","","강원특별자치도 속초시 영랑동 184번지 2호","","","드림주유소 뒤 비상급수시설","2025-07-30 10:09:14","U","2025-08-01 02:40:00","","339280.838574984","524708.721739153","강원특별자치도 속초시 영랑동 184번지 2호","정부지원시설","드림주유소 뒤 비상급수시설","",
"67","민방위급수시설","11_46_01_P","4231000","4231000-E199900002","1999-08-13","","01","영업/정상","18","사용중","","","","","","150","","강원특별자치도 속초시 교동 972번지","강원특별자치도 속초시 먹거리7길 1 (교동)","","먹거리단지내 공원 비상급수시설","2025-07-30 10:00:27","U","2025-08-01 02:40:00","","337834.202930175","522451.980368306","강원특별자치도 속초시 교동 972번지","정부지원시설","먹거리단지내 공원 비상급수시설","",
"68","민방위급수시설","11_46_01_P","4231000","4231000-E199500002","1995-12-20","","01","영업/정상","18","사용중","","","","","","336","","강원특별자치도 속초시 도문동 155번지","강원특별자치도 속초시 설악산로 470-7 (도문동)","","더케이설악산가족호텔 민방위비상급수시설","2025-10-27 12:32:32","U","2025-10-29 02:40:00","","336198.408904293","519310.752368986","강원특별자치도 속초시 도문동 155번지","공공용시설","더케이설악산가족호텔 민방위비상급수시설","",
"69","민방위급수시설","11_46_01_P","4231000","4231000-E199800002","1998-06-20","","01","영업/정상","18","사용중","","","","","","100","","강원특별자치도 속초시 조양동 1499번지 1호","강원특별자치도 속초시 조양상가길 18 (조양동)","24876","부영3단지아파트 앞 비상급수시설","2025-07-30 09:48:33","U","2025-08-01 02:40:00","","338288.247827357","521992.820974344","강원특별자치도 속초시 조양동 1499번지 1호","정부지원시설","부영3단지아파트 앞 비상급수시설","",
"70","민방위급수시설","11_46_01_P","4231000","4231000-E201900001","2019-10-17","","01","영업/정상","18","사용중","","","","","","150","","강원특별자치도 속초시 조양동 508-28","","","코아루아파트 인근 비상급수시설","2025-09-30 12:30:25","U","2025-10-02 02:40:00","","337583.761876247","521611.469707125","강원특별자치도 속초시 조양동 508-28","지자체시설","코아루아파트 인근 비상급수시설","",
"71","민방위급수시설","11_46_01_P","4231000","4231000-E201400001","2014-07-24","","01","영업/정상","18","사용중","","","","","","550","","강원특별자치도 속초시 노학동 795번지 4호","강원특별자치도 속초시 사당골길 43 (노학동)","217-070","금호설악리조트 비상급수시설","2025-09-30 12:21:18","U","2025-10-02 02:40:00","","335668.590337204","521081.322687044","강원특별자치도 속초시 노학동 795번지 4호","공공용시설","금호설악리조트 비상급수시설","",
"72","민방위급수시설","11_46_01_P","4241000","4241000-E200100001","2001-07-10","","01","영업/정상","18","사용중","","","","","","100","","강원특별자치도 삼척시 도계읍 도계리 87-1 경동아파트(음수대:도계LH2단지아파트 옆)","강원특별자치도 삼척시 도계읍 장원길 103 (경동아파트)","25948","도계읍 도계리","2025-10-27 21:32:08","U","2025-10-29 02:40:00","","382537.232951319","415662.854200981","강원특별자치도 삼척시 도계읍 도계리 87-1 경동아파트(음수대:도계LH2단지아파트 옆)","정부지원시설","도계읍 도계리","",
"73","민방위급수시설","11_46_01_P","4241000","4241000-E201600001","2016-07-17","","01","영업/정상","18","사용중","","","","","","100","","강원특별자치도 삼척시 교동 765-2 (구름다리식당 앞)","강원특별자치도 삼척시 청석로 36 (교동)","25923","교동 도시공원","2025-10-27 21:31:07","U","2025-10-29 02:40:00","","392200.589378439","440605.858397775","강원특별자치도 삼척시 교동 765-2 (구름다리식당 앞)","정부지원시설","교동 도시공원","",
"74","민방위급수시설","11_46_01_P","4241000","4241000-E199700002","1997-01-30","","01","영업/정상","18","사용중","","","","","","250","","강원특별자치도 삼척시 교동 250 (체력증진센터 옆)","강원특별자치도 삼척시 동해대로 4234, 삼척종합운동장 (교동)","25909","교동 종합운동장","2025-10-27 21:28:49","U","2025-10-29 02:40:00","","392318.565929328","441448.142676632","강원특별자치도 삼척시 교동 250 (체력증진센터 옆)","정부지원시설","교동 종합운동장","",
"75","민방위급수시설","11_46_01_P","4241000","4241000-E201500001","2015-07-08","","01","영업/정상","18","사용중","","","","","","505","","강원특별자치도 삼척시 증산동 1 이사부사자공원(이사부사자공원 내)","강원특별자치도 삼척시 수로부인길 333, 이사부사자공원 (증산동)","25909","증산동","2025-06-19 15:18:29","U","2025-06-21 02:40:00","","390982.275429255","443616.413202298","강원특별자치도 삼척시 증산동 1 이사부사자공원(이사부사자공원 내)","지자체시설","증산동","",
"76","민방위급수시설","11_46_01_P","4241000","4241000-E201500002","2015-07-08","","01","영업/정상","18","사용중","","","","","","150","","강원특별자치도 삼척시 도경동 292-9 (도경2리 마을회관 옆)","강원특별자치도 삼척시 도경길 554 (도경동)","25906","성내동 도경리","2025-06-19 15:02:07","U","2025-06-21 02:40:00","","385841.748129055","441280.358155999","강원특별자치도 삼척시 도경동 292-9 (도경2리 마을회관 옆)","공공용시설","성내동 도경리","",
"77","민방위급수시설","11_46_01_P","4241000","4241000-E201500003","2015-07-08","","01","영업/정상","18","사용중","","","","","","200","","강원특별자치도 삼척시 원덕읍 산양리 141","강원특별자치도 삼척시 원덕읍 산양화가길 26","25959","원덕읍 산양리","2025-06-24 16:15:07","U","2025-06-26 02:40:00","","404369.982141668","407515.790096983","강원특별자치도 삼척시 원덕읍 산양리 141","공공용시설","원덕읍 산양리","",
"78","민방위급수시설","11_46_01_P","4241000","4241000-E199700003","1997-01-30","","01","영업/정상","18","사용중","","","","","","220","","강원특별자치도 삼척시 정상동 450 (23통 마을회관 옆)","","","정라 도시공원","2025-10-27 21:29:38","U","2025-10-29 02:40:00","","392551.898818534","440068.476119739","강원특별자치도 삼척시 정상동 450 (23통 마을회관 옆)","지자체시설","정라 도시공원","",
"79","민방위급수시설","11_46_01_P","4241000","4241000-E199800001","1998-10-07","","01","영업/정상","18","사용중","","","","","","200","","강원특별자치도 삼척시 원덕읍 옥원리 920-29 (원덕 방주교회 옆)","","","원덕읍 옥원리","2025-10-27 21:30:23","U","2025-10-29 02:40:00","","406546.65857268","411464.625015444","강원특별자치도 삼척시 원덕읍 옥원리 920-29 (원덕 방주교회 옆)","정부지원시설","원덕읍 옥원리","",
"80","민방위급수시설","11_46_01_P","4251000","4251000-E199800001","1998-05-02","","01","영업/정상","18","사용중","","","","","","100","","강원특별자치도 홍천군 홍천읍 337번지","강원특별자치도 홍천군 홍천읍 꽃뫼로 71 (홍천여자고등학교)","25120","홍천여자고등학교","2023-11-10 13:37:01","U","2023-11-12 02:40:00","","277676.409133889","465823.659103714","강원특별자치도 홍천군 홍천읍 337번지","정부지원시설","홍천여자고등학교","",
"81","민방위급수시설","11_46_01_P","4251000","4251000-E200900001","2009-12-30","","01","영업/정상","18","사용중","","","","","","192","","강원특별자치도 홍천군 홍천읍 309번지","강원특별자치도 홍천군 홍천읍 홍천로 651","250-802","어린이교통체험장","2023-11-10 13:37:38","U","2023-11-12 02:40:00","","279987.200194521","467580.794673212","강원특별자치도 홍천군 홍천읍 309번지","정부지원시설","어린이교통체험장","",
"82","민방위급수시설","11_46_01_P","4251000","4251000-E199600001","1996-06-20","","01","영업/정상","18","사용중","","","","","","150","","강원특별자치도 홍천군 남면 33번지","강원특별자치도 홍천군 남면 시동안로321번길 20","25109","남면 3기갑여단 부근","2025-08-12 12:58:44","U","2025-08-15 02:40:00","","274353.937731309","454830.965953239","강원특별자치도 홍천군 남면 33번지","정부지원시설","남면 3기갑여단 부근","",
"83","민방위급수시설","11_46_01_P","4251000","4251000-E200000001","2000-10-19","","01","영업/정상","18","사용중","","","","","","870","","강원특별자치도 홍천군 홍천읍 155번지","강원특별자치도 홍천군 홍천읍 구시울1길 25 (삼호2차아파트)","25117","홍천읍 삼호아파트","2023-11-10 13:37:18","U","2023-11-12 02:40:00","","275369.271010644","463586.971033542","강원특별자치도 홍천군 홍천읍 155번지","민간시설","홍천읍 삼호아파트","",
"84","민방위급수시설","11_46_01_P","4261000","4261000-E201900001","2020-07-31","","01","영업/정상","18","사용중","","","","","","123","","강원특별자치도 횡성군 횡성읍 260번지","강원특별자치도 횡성군 횡성읍 문예로 75 (횡성문화체육공원)","","문화체육공원 급수시설","2023-07-10 14:10:46","U","2023-07-13 02:40:00","","286232.868933281","443449.355741223","강원특별자치도 횡성군 횡성읍 260번지","지자체시설","문화체육공원 급수시설","",
"85","민방위급수시설","11_46_01_P","4261000","4261000-E199700001","1997-05-26","","01","영업/정상","18","사용중","","","","","","155","","강원특별자치도 횡성군 횡성읍 194번지 2호","강원특별자치도 횡성군 횡성읍 횡성로 252","225-801","횡성여고 내","2023-07-10 14:09:40","U","2023-07-13 02:40:00","","286798.470321251","441961.592576125","강원특별자치도 횡성군 횡성읍 194번지 2호","정부지원시설","횡성여고 내","",
"86","민방위급수시설","11_46_01_P","4261000","4261000-E199700002","1997-11-18","","01","영업/정상","18","사용중","","","","","","120","","강원특별자치도 횡성군 횡성읍 507번지 3호","강원특별자치도 횡성군 횡성읍 덕고마을1길 6-9","225-806","정암레포츠공원","2023-07-10 14:10:06","U","2023-07-13 02:40:00","","290290.879486032","441181.364931821","강원특별자치도 횡성군 횡성읍 507번지 3호","정부지원시설","정암레포츠공원","",
"87","민방위급수시설","11_46_01_P","4261000","4261000-E199800001","1998-10-17","","01","영업/정상","18","사용중","","","","","","150","","강원특별자치도 횡성군 횡성읍 58번지 1호","강원특별자치도 횡성군 횡성읍 태기로 15","225-701","횡성군청 내","2023-07-10 13:56:02","U","2023-07-13 02:40:00","","287035.700374272","443748.115154147","강원특별자치도 횡성군 횡성읍 58번지 1호","정부지원시설","횡성군청 내","",
"88","민방위급수시설","11_46_01_P","4271000","4271000-E201100002","2011-07-12","","01","영업/정상","18","사용중","","","","","","1800","","강원특별자치도 영월군 영월읍 108번지","강원특별자치도 영월군 영월읍 사지막길 152","26223","탑스텐동강리조트","2025-07-31 13:27:07","U","2025-08-02 02:40:00","","334737.971789668","413950.472458217","강원특별자치도 영월군 영월읍 108번지","공공용시설","탑스텐동강리조트","",
"89","민방위급수시설","11_46_01_P","4271000","4271000-E201200001","2012-08-10","","01","영업/정상","18","사용중","","","","","","120","","강원특별자치도 영월군 영월읍 56번지","강원특별자치도 영월군 영월읍 제방안길 100 (영월스포츠파크)","26237","영월스포츠파크","2025-07-31 17:16:44","U","2025-08-02 02:40:00","","329741.633842883","409243.07270564","강원특별자치도 영월군 영월읍 56번지","정부지원시설","영월스포츠파크","",
"90","민방위급수시설","11_46_01_P","4271000","4271000-E200500001","2005-07-19","","01","영업/정상","18","사용중","","","","","","150","","강원특별자치도 영월군 영월읍 961번지 2호","강원특별자치도 영월군 영월읍 단종로 24","26227","영월문화예술회관","2025-07-31 17:00:44","U","2025-08-02 02:40:00","","330308.36351775","410365.098922937","강원특별자치도 영월군 영월읍 961번지 2호","지자체시설","영월문화예술회관","",
"91","민방위급수시설","11_46_01_P","4271000","4271000-E201100001","2011-08-01","","01","영업/정상","18","사용중","","","","","","230","","강원특별자치도 영월군 영월읍 1574번지 2호","강원특별자치도 영월군 영월읍 둥글바위길 33","26223","동강오토캠핑장","2025-07-31 17:07:17","U","2025-08-02 02:40:00","","333519.968003677","412123.070997319","강원특별자치도 영월군 영월읍 1574번지 2호","지자체시설","동강오토캠핑장","",
"92","민방위급수시설","11_46_01_P","4281000","4281000-E202200001","2022-02-25","","01","영업/정상","18","사용중","","","","","","170","","강원특별자치도 평창군 용평면 백옥포리 251 국립평창청소년수련원","강원특별자치도 평창군 용평면 새터마을길 108, 국립평창청소년수련원","25316","비상급수시설(용평면, 음용수)","2023-06-10 14:00:22","I","2023-06-13 00:00:00","","323388.255649827","454277.214320118","강원특별자치도 평창군 용평면 백옥포리 251 국립평창청소년수련원","공공용시설","비상급수시설(용평면, 음용수)","",
"93","민방위급수시설","11_46_01_P","4281000","4281000-E202200002","2022-02-25","","01","영업/정상","18","사용중","","","","","","150","","강원특별자치도 평창군 용평면 백옥포리 251 국립평창청소년수련원","강원특별자치도 평창군 용평면 새터마을길 108, 국립평창청소년수련원","25316","비상급수시설(용평면, 음용수)","2025-09-26 09:23:59","U","2025-09-28 02:40:00","","323388.255649827","454277.214320118","강원특별자치도 평창군 용평면 백옥포리 251 국립평창청소년수련원","공공용시설","비상급수시설(용평면, 음용수)","",
"94","민방위급수시설","11_46_01_P","4281000","4281000-E199700002","1997-11-10","","01","영업/정상","18","사용중","","","","","","336","","강원특별자치도 평창군 대화면 대화리 410번지 5호","강원특별자치도 평창군 대화면 남산1길 28-0","","비상급수시설(대화면)","2023-06-10 14:00:22","I","2023-06-13 00:00:00","","328849.869521904","445300.837474188","강원특별자치도 평창군 대화면 대화리 410번지 5호","정부지원시설","비상급수시설(대화면)","",
"95","민방위급수시설","11_46_01_P","4281000","4281000-E199900001","1999-10-16","","01","영업/정상","18","사용중","","","","","","150","","강원특별자치도 평창군 봉평면 345번지","강원특별자치도 평창군 봉평면 기풍4길 10","232-925","비상급수시설(봉평면)","2023-06-10 14:00:22","I","2023-06-13 00:00:00","","321723.035964919","457981.886313395","강원특별자치도 평창군 봉평면 345번지","정부지원시설","비상급수시설(봉평면)","",
"96","민방위급수시설","11_46_01_P","4281000","4281000-E199800001","1998-12-28","","01","영업/정상","18","사용중","","","","","","150","","강원특별자치도 평창군 대관령면 335번지","강원특별자치도 평창군 대관령면 대관령로 83","232-954","비상급수시설(대관령면)","2023-06-10 14:00:22","I","2023-06-13 00:00:00","","350453.714986285","464821.656115689","강원특별자치도 평창군 대관령면 335번지","정부지원시설","비상급수시설(대관령면)","",
"97","민방위급수시설","11_46_01_P","4281000","4281000-E199700004","1997-12-26","","01","영업/정상","18","사용중","","","","","","336","","강원특별자치도 평창군 진부면 251번지 2호","강원특별자치도 평창군 진부면 석두산2길 13","232-948","비상급수시설(진부면)","2025-03-17 17:30:05","U","2025-03-19 02:40:00","","337011.884683323","460578.999920962","강원특별자치도 평창군 진부면 251번지 2호","정부지원시설","비상급수시설(진부면)","",
"98","민방위급수시설","11_46_01_P","4281000","4281000-E199600003","1996-12-09","","01","영업/정상","18","사용중","","","","","","336","","강원특별자치도 평창군 평창읍 355번지 1호","강원특별자치도 평창군 평창읍 노성로 127","232-806","비상급수시설(평창읍)","2024-01-26 13:24:15","U","2024-01-28 02:40:00","","323707.231243713","430545.584661534","강원특별자치도 평창군 평창읍 355번지 1호","정부지원시설","비상급수시설(평창읍)","",
"99","민방위급수시설","11_46_01_P","4281000","4281000-E200000001","2000-07-31","","01","영업/정상","18","사용중","","","","","","144","","강원특별자치도 평창군 용평면 용전리 135번지 23호","강원특별자치도 평창군 용평면 경강로 2027 (용평면사무소)","25313","비상급수시설(용평면)","2024-07-10 10:56:29","U","2024-07-12 02:40:00","","327070.402042648","457021.447602134","강원특별자치도 평창군 용평면 용전리 135번지 23호","정부지원시설","비상급수시설(용평면)","",
"100","민방위급수시설","11_46_01_P","4281000","4281000-E200100001","2001-12-14","","01","영업/정상","18","사용중","","","","","","144","","강원특별자치도 평창군 방림면 계촌리 1526번지","강원특별자치도 평창군 방림면 운지로 294-13","","비상급수시설(방림면)","2023-06-10 14:00:22","I","2023-06-13 00:00:00","","315152.089809026","439602.118704068","강원특별자치도 평창군 방림면 계촌리 1526번지","정부지원시설","비상급수시설(방림면)","",
"101","민방위급수시설","11_46_01_P","4281000","4281000-E200300003","2003-01-11","","01","영업/정상","18","사용중","","","","","","332","","강원특별자치도 평창군 미탄면 창리 615번지 1호","강원특별자치도 평창군 미탄면 횟골길 17-10","25382","비상급수시설(미탄면)","2024-01-15 15:21:00","U","2024-01-17 02:40:00","","332678.312311975","427774.318460174","강원특별자치도 평창군 미탄면 창리 615번지 1호","지자체시설","비상급수시설(미탄면)","",
"102","민방위급수시설","11_46_01_P","4281000","4281000-E202400001","2024-01-08","","01","영업/정상","18","사용중","","","","","","100","","강원특별자치도 평창군 평창읍 여만리 357-15 평창군 농업기술센터 농업인 교육관","강원특별자치도 평창군 평창읍 여만길 40, 평창군 농업기술센터 농업인 교육관","25372","비상급수시설(농업기술센터)","2024-05-13 11:08:11","I","2024-05-15 00:14:39","","323704.819383845","431477.493476258","강원특별자치도 평창군 평창읍 여만리 357-15 평창군 농업기술센터 농업인 교육관","정부지원시설","비상급수시설(농업기술센터)","",
"103","민방위급수시설","11_46_01_P","4291000","4291000-E199800002","1998-11-30","","01","영업/정상","18","사용중","","","","","","130","","강원특별자치도 정선군 남면 416번지 15호","강원특별자치도 정선군 남면 강원남로 5268","233-834","남면 증산펌프장내","2023-10-26 13:39:39","U","2023-10-28 02:40:00","","","","강원특별자치도 정선군 남면 416번지 15호","정부지원시설","남면 증산펌프장내","",
"104","민방위급수시설","11_46_01_P","4291000","4291000-E200000001","2000-11-18","","01","영업/정상","18","사용중","","","","","","100","","강원특별자치도 정선군 사북읍 447번지 1호","강원특별자치도 정선군 사북읍 도사곡길 42-2","233-909","사북읍 도사곡정수장내","2025-07-29 20:07:10","U","2025-07-31 02:40:00","","359256.687306881","415118.116830854","강원특별자치도 정선군 사북읍 447번지 1호","정부지원시설","사북읍 도사곡정수장내","",
"105","민방위급수시설","11_46_01_P","4291000","4291000-E201700001","2017-01-01","","01","영업/정상","18","사용중","","","","","","100","","강원특별자치도 정선군 정선읍 덕송리 628번지 1호","강원특별자치도 정선군 정선읍 서동로 1161","26121","정선읍 덕송장수장 내","2025-07-29 19:59:37","U","2025-07-31 02:40:00","","347514.972580728","433837.468101237","강원특별자치도 정선군 정선읍 덕송리 628번지 1호","정부지원시설","정선읍 덕송장수장 내","",
"106","민방위급수시설","11_46_01_P","4291000","4291000-E200400001","2004-12-15","","01","영업/정상","18","사용중","","","","","","200","","강원특별자치도 정선군 북평면 298번지","강원특별자치도 정선군 북평면 항동길 58","26101","북평면 민방위 비상급수시설","2025-01-06 14:05:36","U","2025-01-08 02:40:00","","347706.747258101","440632.39968623","강원특별자치도 정선군 북평면 298번지","정부지원시설","북평면 민방위 비상급수시설","",
"107","민방위급수시설","11_46_01_P","4291000","4291000-E199600004","1996-11-13","","01","영업/정상","18","사용중","","","","","","284","","강원특별자치도 정선군 신동읍 75번지 1호","강원특별자치도 정선군 신동읍 의림로 406-28","26138","신동읍 납돌정수장내","2023-06-10 14:56:29","I","2023-06-13 00:00:00","","346562.20513944","415147.20785411","강원특별자치도 정선군 신동읍 75번지 1호","정부지원시설","신동읍 납돌정수장내","",
"108","민방위급수시설","11_46_01_P","4301000","4301000-E200200005","1995-12-21","","01","영업/정상","18","사용중","","","","","","200","","강원특별자치도 철원군 철원읍 화지리 28-44 24시청하보석사우나","강원특별자치도 철원군 철원읍 금학로256번길 12, 24시청하보석사우나","24008","청하사우나","2025-08-06 06:49:01","U","2025-08-11 02:40:00","","218977.311467102","523160.054393689","강원특별자치도 철원군 철원읍 화지리 28-44 24시청하보석사우나","공공용시설","청하사우나","",
"109","민방위급수시설","11_46_01_P","4301000","4301000-E201100001","2011-01-13","","01","영업/정상","18","사용중","","","","","","250","","강원특별자치도 철원군 갈말읍 군탄리 505-8 (주)그래미","강원특별자치도 철원군 갈말읍 갈말로 32-30, (주)그래미","24032","그래미(주)","2025-08-06 08:49:50","U","2025-08-11 02:40:00","","226996.862833105","517620.483937796","강원특별자치도 철원군 갈말읍 군탄리 505-8 (주)그래미","공공용시설","그래미(주)","",
"110","민방위급수시설","11_46_01_P","4301000","4301000-E201900001","2019-06-11","","01","영업/정상","18","사용중","","","","","","150","","강원특별자치도 철원군 김화읍 청양리 2872 김화농공관리사무소","강원특별자치도 철원군 김화읍 외골길 16, 김화농공관리사무소","24055","김화농공단지","2025-08-06 09:06:02","U","2025-08-11 02:40:00","","235490.074320252","527170.941665602","강원특별자치도 철원군 김화읍 청양리 2872 김화농공관리사무소","공공용시설","김화농공단지","",
"111","민방위급수시설","11_46_01_P","4301000","4301000-E201100004","2011-01-13","","01","영업/정상","18","사용중","","","","","","200","","강원특별자치도 철원군 동송읍 장흥리 20-20 한탄리버 스파호텔","강원특별자치도 철원군 동송읍 태봉로 1799-22, 한탄리버 스파호텔","24023","한탄리버스파호텔","2025-08-06 06:48:20","U","2025-08-11 02:40:00","","225376.4902074","520439.514215391","강원특별자치도 철원군 동송읍 장흥리 20-20 한탄리버 스파호텔","공공용시설","한탄리버스파호텔","",
"112","민방위급수시설","11_46_01_P","4301000","4301000-E201100006","2011-01-13","","01","영업/정상","18","사용중","","","","","","200","","강원특별자치도 철원군 갈말읍 군탄리 505-8 (주)그래미","강원특별자치도 철원군 갈말읍 갈말로 32-30, (주)그래미","24032","그래미(주)","2025-08-06 08:26:27","U","2025-08-11 02:40:00","","226996.862833105","517620.483937796","강원특별자치도 철원군 갈말읍 군탄리 505-8 (주)그래미","공공용시설","그래미(주)","",
"113","민방위급수시설","11_46_01_P","4301000","4301000-E201500001","2015-01-02","","01","영업/정상","18","사용중","","","","","","140","","강원특별자치도 철원군 갈말읍 신철원리 991-1 갈말읍사무소","강원특별자치도 철원군 갈말읍 명성로 178, 갈말읍사무소","24038","갈말읍사무소","2025-08-06 07:35:00","U","2025-08-11 02:40:00","","226963.025523486","516121.73467864","강원특별자치도 철원군 갈말읍 신철원리 991-1 갈말읍사무소","정부지원시설","갈말읍사무소","",
"114","민방위급수시설","11_46_01_P","4301000","4301000-E199700001","1997-04-09","","01","영업/정상","18","사용중","","","","","","120","","강원특별자치도 철원군 동송읍 이평리 860-1 동송읍사무소","강원특별자치도 철원군 동송읍 이평로 133, 동송읍사무소","24013","동송읍사무소","2025-08-05 21:15:11","U","2025-08-07 02:40:00","","218202.708218687","522721.040066856","강원특별자치도 철원군 동송읍 이평리 860-1 동송읍사무소","정부지원시설","동송읍사무소","",
"115","민방위급수시설","11_46_01_P","4301000","4301000-E199800002","1998-12-10","","01","영업/정상","18","사용중","","","","","","124","","강원특별자치도 철원군 갈말읍 399번지 2호","강원특별자치도 철원군 갈말읍 지포2길 146 (철원군위생처리사업소축산폐수처리장)","24046","상하수도사업소","2023-06-10 15:00:15","I","2023-06-13 00:00:00","","225349.744186749","514255.480689553","강원특별자치도 철원군 갈말읍 399번지 2호","지자체시설","상하수도사업소","",
"116","민방위급수시설","11_46_01_P","4301000","4301000-E202400001","2024-04-03","","01","영업/정상","18","사용중","","","","","","200","","강원특별자치도 철원군 김화읍 청양리 2872 김화농공관리사무소","강원특별자치도 철원군 김화읍 외골길 16, 김화농공관리사무소","24055","김화농공단지","2025-08-06 08:57:23","U","2025-08-11 02:40:00","","235490.074320252","527170.941665602","강원특별자치도 철원군 김화읍 청양리 2872 김화농공관리사무소","공공용시설","김화농공단지","",
"117","민방위급수시설","11_46_01_P","4311000","4311000-E201600002","2016-11-08","","01","영업/정상","18","사용중","","","","","","200","","강원특별자치도 화천군 간동면 오음리 198번지","","","오음리상수도","2023-06-10 15:06:28","I","2023-06-13 00:00:00","","272196.868833832","506872.906551027","강원특별자치도 화천군 간동면 오음리 198번지","지자체시설","오음리상수도","",
"118","민방위급수시설","11_46_01_P","4311000","4311000-E199700002","1997-04-12","","01","영업/정상","18","사용중","","","","","","145","","강원특별자치도 화천군 화천읍 256번지 3호","강원특별자치도 화천군 화천읍 화천새싹길 40","","어린이놀이터내","2024-03-22 15:25:12","U","2024-03-24 02:40:00","","261964.536446059","511638.876569343","강원특별자치도 화천군 화천읍 256번지 3호","정부지원시설","어린이놀이터내","",
"119","민방위급수시설","11_46_01_P","4311000","4311000-E199600002","1996-11-27","","01","영업/정상","18","사용중","","","","","","140","","강원특별자치도 화천군 화천읍 211번지 2호","강원특별자치도 화천군 화천읍 화천새싹길 57 (화천초등학교)","24125","화천 복합 커뮤니티센터","2024-03-22 15:24:59","U","2024-03-24 02:40:00","","262116.487000565","511622.915820238","강원특별자치도 화천군 화천읍 211번지 2호","공공용시설","화천 복합 커뮤니티센터","",
"120","민방위급수시설","11_46_01_P","4311000","4311000-E201600003","2016-11-08","","01","영업/정상","18","사용중","","","","","","90","","강원특별자치도 화천군 하남면 350번지","강원특별자치도 화천군 하남면 가마니길 266","24145","두레축산","2025-05-13 11:38:19","U","2025-05-15 02:40:00","","258686.630324711","508834.151420455","강원특별자치도 화천군 하남면 350번지","공공용시설","두레축산","",
"121","민방위급수시설","11_46_01_P","4311000","4311000-E201600005","2016-11-08","","01","영업/정상","18","사용중","","","","","","200","","강원특별자치도 화천군 상서면 파포리 770번지 6호","","","파포리상수도","2023-06-10 15:06:28","I","2023-06-13 00:00:00","","255988.546150815","517105.193776781","강원특별자치도 화천군 상서면 파포리 770번지 6호","지자체시설","파포리상수도","",
"122","민방위급수시설","11_46_01_P","4311000","4311000-E201900001","2019-02-20","","01","영업/정상","18","사용중","","","","","","100","","강원특별자치도 화천군 사내면 삼일리 1124번지","","","삼일리 마을상수도","2023-06-10 15:06:28","I","2023-06-13 00:00:00","","247211.609731829","505236.954844424","강원특별자치도 화천군 사내면 삼일리 1124번지","지자체시설","삼일리 마을상수도","",
"123","민방위급수시설","11_46_01_P","4321000","4321000-E202100001","2021-06-23","","01","영업/정상","18","사용중","","","","","","100","","강원특별자치도 양구군 양구읍 동수리 407-5","강원특별자치도 양구군 양구읍 파로호로869번길 219","24515","민방위비상급수시설(민물고기부화장)","2024-01-22 17:27:19","U","2024-01-24 02:40:00","","285380.355563529","514461.452192547","강원특별자치도 양구군 양구읍 동수리 407-5","공공용시설","민방위비상급수시설(민물고기부화장)","",
"124","민방위급수시설","11_46_01_P","4321000","4321000-E202100002","2021-06-23","","01","영업/정상","18","사용중","","","","","","100","","강원특별자치도 양구군 양구읍 상리 399-4 양구청소년수련관","강원특별자치도 양구군 양구읍 박수근로 366-27, 양구청소년수련관","24519","민방위비상급수시설(청소년수련관)","2023-06-10 14:56:57","I","2023-06-13 00:00:00","","286032.427563084","511872.223321555","강원특별자치도 양구군 양구읍 상리 399-4 양구청소년수련관","공공용시설","민방위비상급수시설(청소년수련관)","",
"125","민방위급수시설","11_46_01_P","4321000","4321000-E199600001","1996-12-18","","01","영업/정상","18","사용중","","","","","","200","","강원특별자치도 양구군 양구읍 상리 394번지 14호","강원특별자치도 양구군 양구읍 비봉로73번길 52","","민방위비상급수시설(문화복지센터)","2024-02-27 19:44:15","U","2024-02-29 02:40:00","","286252.145920008","512237.930386482","강원특별자치도 양구군 양구읍 상리 394번지 14호","정부지원시설","민방위비상급수시설(문화복지센터)","",
