"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","실험실면적","사업장구분명","영업소면적","위탁업체명","실험실지역코드","실험실우편번호","실험실산","실험실번지","실험실호","실험실통","실험실반","실험실특수주소","실험실특수주소동","실험실특수주소호","실험실도로명주소시군구코드","실험실도로명주소읍면동코드","실험실도로명주소읍면동구분","실험실도로명주소코드","실험실도로명특수주소","실험실도로명주소건물층구분","실험실도로명주소건물본번호","실험실도로명주소건물부번호","실험실도로명주소우편번호",
"156","환경전문공사업","09_30_16_P","6530000","642000009200700032","2012-08-03","","03","폐업","Q","폐업","2013-04-04","","","","","","","","강원특별자치도 원주시 단계동 이편한아파트 107-1904","","(합)강원환경","2022-01-17 14:32:51","I","2023-06-13 00:00:00","","","","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"157","환경전문공사업","09_30_16_P","6530000","642000009200700035","2009-10-29","","03","폐업","Q","폐업","2011-09-27","","","","","","","강원특별자치도 정선군 남면 무릉리 822-2","","","(주)안성이엔씨","2022-01-18 17:05:16","I","2023-06-13 00:00:00","","","","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"158","환경전문공사업","09_30_16_P","6530000","642000009200700040","2007-07-27","","03","폐업","Q","폐업","2022-01-23","","","","","","","서울특별시 강동구 천호동  238번지 3호 36통 1반","","","폐업 임시 지정 - 푸른종합건설(주)","2022-01-23 13:54:56","I","2023-06-13 00:00:00","","","","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"159","환경전문공사업","09_30_16_P","6530000","642000009200700041","2013-10-30","","03","폐업","Q","폐업","2014-10-20","","","","","","233-851","강원특별자치도 정선군 북평면 북평리  685번지","강원특별자치도 정선군 북평면 북평7길 36","233-851","(주)일익건설","2022-01-17 14:35:06","I","2023-06-13 00:00:00","","347431.314364333","439855.00128046","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"160","환경전문공사업","09_30_16_P","6530000","642000009200700023","2009-12-10","","03","폐업","Q","폐업","2016-05-16","","","","","","24387","강원특별자치도 춘천시 석사동 664번지","강원특별자치도 춘천시 후석로 44 (석사동)","24387","(주)동서","2020-01-31 14:24:51","I","2023-06-13 00:00:00","","265225.168616533","484221.188490755","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"161","환경전문공사업","09_30_16_P","6530000","642000009200700042","2007-09-21","","03","폐업","Q","폐업","","","","","","","","춘천시 근화동 719-6","","","(주)그린존","2022-01-13 15:54:39","I","2023-06-13 00:00:00","","","","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"162","환경전문공사업","09_30_16_P","6530000","642000009200700043","2012-02-06","","03","폐업","Q","폐업","","","","","","","","서울특별시 도봉구 방학동 720번지 18호 31통 2반 방학동삼성래미안아파트 107동 1902호","서울특별시 도봉구 마들로 646, 107동 1902호 (방학동,방학동삼성래미안아파트)","","태일환경(주)","2022-01-13 16:17:57","I","2023-06-13 00:00:00","","","","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"163","환경전문공사업","09_30_16_P","6530000","642000009200700044","2008-05-09","","03","폐업","Q","폐업","","","","","","","","강원특별자치도 춘천시 동내면 거두리 939번지 1호 4통 3반 부영아파트 101동 105호","","","(주)그린존","2022-01-13 15:54:22","I","2023-06-13 00:00:00","","","","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"164","환경전문공사업","09_30_16_P","6530000","642000009200700045","2007-11-05","","03","폐업","Q","폐업","","","","","","","24266","강원특별자치도 춘천시 봉의동 15번지","강원특별자치도 춘천시 중앙로 1(봉의동)","24266","(주)티에스엔지니어링","2022-01-13 16:09:09","I","2023-06-13 00:00:00","","264161.625099424","487252.702443066","0","환경전문공사업","0","","5111010100","24266","0","15","0","","","","","","51110","5111010100","1","3218033","","0","1","0","24266",
"165","환경전문공사업","09_30_16_P","6530000","642000009200700046","2007-07-25","","03","폐업","Q","폐업","2022-01-17","","","","","","","태백시 황지동 86-17","","","(주)티에스엔지니어링","2022-01-17 14:53:01","I","2023-06-13 00:00:00","","","","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
