"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","준공일자","개관일자","설립운영주체구분명","박물관미술관종류명","박물관미술관유형명","폐관일자","폐관사유","자본금","소요자금","법인설립목적","허가조건","법인해산일자","법인명",
"73","박물관, 미술관","03_07_05_P","6530000","B04012004000007","1997-10-02","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 양구군 양구읍 하리","강원특별자치도 양구군 양구읍 금강산로 439-54","","양구선사박물관","2019-03-14 14:14:32","U","2024-10-11 02:40:00","","","","박물관","","19971020","공립","1종","전문박물관","","","0","","","","","",
"74","박물관, 미술관","03_07_05_P","6530000","B04012004000009","1997-04-26","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 태백시 소도동","강원특별자치도 태백시 천제단길 195 (소도동)","","태백석탄박물관","2019-03-14 13:39:46","U","2024-10-11 02:40:00","","373291.49500296","403644.097201665","박물관","","19970527","공립","1종","전문박물관","","","0","","","","","",
"75","박물관, 미술관","03_07_05_P","6530000","B04012004000010","2006-05-24","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 인제군 인제읍 상동리","강원특별자치도 인제군 인제읍 인제로156번길 50-0 (산촌민속박물관)","","인제산촌민속박물관","2020-09-10 16:58:41","U","2024-10-11 02:40:00","","302748.819084643","507319.618113366","박물관","","20031008","공립","1종","전문박물관","","","0","","","","","",
"76","박물관, 미술관","03_07_05_P","6530000","B04012004000014","2000-11-20","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 강릉시 지변동 123번지","강원특별자치도 강릉시 죽헌길 7 (지변동)","","강릉원주대학교박물관","2019-03-14 14:13:41","U","2024-10-11 02:40:00","","364627.278082023","475810.449226925","박물관","","19780301","대학","1종","전문박물관","","","0","0","","","","",
"77","박물관, 미술관","03_07_05_P","6530000","B04012004000015","2001-06-11","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 강릉시 내곡동","강원특별자치도 강릉시 범일로579번길 24 (내곡동)","","가톨릭관동대학교박물관","2019-03-15 16:39:04","U","2024-10-11 02:40:00","","365136.451379883","472058.531076918","박물관","","19760410","대학","1종","전문박물관","","","0","","","","","",
"78","박물관, 미술관","03_07_05_P","6530000","B04012004000016","2001-03-19","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 효자동","강원특별자치도 춘천시 강원대학길 1 (효자동)","","강원대학교박물관","2019-03-15 16:37:34","U","2024-10-11 02:40:00","","265481.557982219","485420.871953344","박물관","","19790307","대학","1종","전문박물관","","","0","","","","","",
"79","박물관, 미술관","03_07_05_P","6530000","B04012004000017","2016-03-28","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 옥천동 1번지 1호","강원특별자치도 춘천시 한림대학길 1-0 (옥천동,한림대학교)","","한림대학교박물관","2021-06-18 10:03:58","U","2024-10-11 02:40:00","","264602.141926602","487386.633309595","박물관","","19880518","대학","1종","전문박물관","","","0","","","","","",
"80","박물관, 미술관","03_07_05_P","6530000","B04012008000001","2008-01-28","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 횡성군 우천면 산전리 426번지 3호","","","한얼문예박물관","2019-03-14 16:25:37","U","2024-10-11 02:40:00","","294805.396508813","443465.113074107","박물관","","20030531","사립","1종","전문박물관","","","0","","","","","",
"81","박물관, 미술관","03_07_05_P","6530000","B04012008000002","2012-03-20","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 강릉시 저동 35번지 1호","강원특별자치도 강릉시 경포로371번길 26 (저동)","","에디슨과학박물관","2019-03-14 17:10:47","U","2024-10-11 02:40:00","","367030.50321701","478891.561174358","박물관","","19921128","사립","1종","전문박물관","","","0","","","","","",
"82","박물관, 미술관","03_07_05_P","6530000","B04012008000010","2008-05-13","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 무실동 887번지 24호","강원특별자치도 원주시 마장2길 37 (무실동)","","원주허브팜식물박물관","2023-11-07 11:41:49","U","2024-10-11 02:40:00","","281874.63860108","423354.168825833","박물관","","20080510","사립","1종","전문박물관","","","0","","","","","",
